📺央视频道,#genre#
CCTV1综合,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv1hd_2000
CCTV1综合,http://110.81.206.138:49231/tsfile/live/23001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://110.81.206.138:49231/tsfile/live/23002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv3hd_2000
CCTV3综艺,http://110.81.206.138:49231/tsfile/live/23003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv4hd_2000
CCTV4中文国际,http://110.81.206.138:49231/tsfile/live/23004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv5hd_2000
CCTV5体育,http://110.81.206.138:49231/tsfile/live/23005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv5plushd_2000
CCTV5+体育赛事,http://110.81.206.138:49231/tsfile/live/23018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv6hd_2000
CCTV6电影,http://110.81.206.138:49231/tsfile/live/23006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv7hd_2000
CCTV7国防军事,http://110.81.206.138:49231/tsfile/live/23007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv8hd_2000
CCTV8电视剧,http://110.81.206.138:49231/tsfile/live/23008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv9hd_2000
CCTV9纪录,http://110.81.206.138:49231/tsfile/live/23009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv10_1200
CCTV10科教,http://110.81.206.138:49231/tsfile/live/23010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv11hd_2000
CCTV11戏曲,http://110.81.206.138:49231/tsfile/live/23011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv12hd_2000
CCTV12社会与法,http://110.81.206.138:49231/tsfile/live/23012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13新闻,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv13_1200
CCTV13新闻,http://110.81.206.138:49231/tsfile/live/23013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14少儿,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv14_2000
CCTV14少儿,http://110.81.206.138:49231/tsfile/live/23014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15音乐,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv15_2000
CCTV15音乐,http://110.81.206.138:49231/tsfile/live/23015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16奥林匹克,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv16hd_2000
CCTV17农业农村,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctv17_2000
CCTV17农业农村,http://110.81.206.138:49231/tsfile/live/23017_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://80story.eu.org:8880/IPTV/福建广电.php?id=cctvnewshd_2000
